county_name,population
"Adams County, Pennsylvania",102336
"Allegheny County, Pennsylvania",1223048
"Armstrong County, Pennsylvania",65642
"Beaver County, Pennsylvania",166140
"Bedford County, Pennsylvania",48480
"Berks County, Pennsylvania",417854
"Blair County, Pennsylvania",123457
"Bradford County, Pennsylvania",60853
"Bucks County, Pennsylvania",628341
"Butler County, Pennsylvania",187108
"Cambria County, Pennsylvania",133054
"Cameron County, Pennsylvania",4592
"Carbon County, Pennsylvania",63853
"Centre County, Pennsylvania",162660
"Chester County, Pennsylvania",519293
"Clarion County, Pennsylvania",38458
"Clearfield County, Pennsylvania",79685
"Clinton County, Pennsylvania",38998
"Columbia County, Pennsylvania",65932
"Crawford County, Pennsylvania",86159
"Cumberland County, Pennsylvania",250066
"Dauphin County, Pennsylvania",275710
"Delaware County, Pennsylvania",564696
"Elk County, Pennsylvania",30197
"Erie County, Pennsylvania",274541
"Fayette County, Pennsylvania",131504
"Forest County, Pennsylvania",7297
"Franklin County, Pennsylvania",154234
"Fulton County, Pennsylvania",14590
"Greene County, Pennsylvania",36770
"Huntingdon County, Pennsylvania",45491
"Indiana County, Pennsylvania",84953
"Jefferson County, Pennsylvania",43804
"Juniata County, Pennsylvania",24514
"Lackawanna County, Pennsylvania",210761
"Lancaster County, Pennsylvania",542903
"Lawrence County, Pennsylvania",87069
"Lebanon County, Pennsylvania",139754
"Lehigh County, Pennsylvania",366494
"Luzerne County, Pennsylvania",317343
"Lycoming County, Pennsylvania",113841
"McKean County, Pennsylvania",41330
"Mercer County, Pennsylvania",111750
"Mifflin County, Pennsylvania",46388
"Monroe County, Pennsylvania",168046
"Montgomery County, Pennsylvania",826075
"Montour County, Pennsylvania",18272
"Northampton County, Pennsylvania",303405
"Northumberland County, Pennsylvania",92029
"Perry County, Pennsylvania",46127
"Philadelphia County, Pennsylvania",1580863
"Pike County, Pennsylvania",55691
"Potter County, Pennsylvania",16802
"Schuylkill County, Pennsylvania",142569
"Snyder County, Pennsylvania",40801
"Somerset County, Pennsylvania",74501
"Sullivan County, Pennsylvania",6089
"Susquehanna County, Pennsylvania",40985
"Tioga County, Pennsylvania",40793
"Union County, Pennsylvania",44595
"Venango County, Pennsylvania",51762
"Warren County, Pennsylvania",39659
"Washington County, Pennsylvania",207298
"Wayne County, Pennsylvania",51205
"Westmoreland County, Pennsylvania",352627
"Wyoming County, Pennsylvania",27322
"York County, Pennsylvania",446078
