county_name,population,arrests,incident_count,incident_total,drug_quantity,rate
ADAMS,102336,26.0,53.0,79.0,0.451141,77.19668542839277
ALLEGHENY,1223048,257.0,238.0,495.0,13.532635,40.472655202412334
ARMSTRONG,65642,188.0,133.0,321.0,1.4415840000000002,489.0161786660979
BEAVER,166140,49.0,60.0,109.0,0.28665,65.60731912844588
BEDFORD,48480,53.0,46.0,99.0,0.09967999999999999,204.20792079207922
BERKS,417854,143.0,134.0,277.0,6.07802,66.29109689030139
BLAIR,123457,33.0,35.0,68.0,0.154274,55.07990636415918
BRADFORD,60853,28.0,47.0,75.0,0.053616000000000004,123.24782672998865
BUCKS,628341,199.0,165.0,364.0,2.309101,57.9303276405646
BUTLER,187108,226.0,151.0,377.0,5.550108000000001,201.48791072535653
CAMBRIA,133054,34.0,48.0,82.0,0.18535000000000004,61.62911299171764
CAMERON,4592,0.0,0.0,0.0,0.0,0.0
CARBON,63853,91.0,104.0,195.0,3.3191400000000004,305.38894022207256
CENTRE,162660,86.0,89.0,175.0,1.575776,107.58637649083978
CHESTER,519293,234.0,277.0,511.0,50.17773599999998,98.40302103051648
CLARION,38458,22.0,18.0,40.0,0.120641,104.009568880337
CLEARFIELD,79685,21.0,19.0,40.0,2.0456300000000005,50.19765325971011
CLINTON,38998,23.0,27.0,50.0,0.074671,128.21170316426486
COLUMBIA,65932,7.0,6.0,13.0,0.0025819999999999997,19.717284474913544
CRAWFORD,86159,33.0,42.0,75.0,0.0708,87.04836407107788
CUMBERLAND,250066,93.0,136.0,229.0,5.011631,91.57582398246863
DAUPHIN,275710,236.0,272.0,508.0,22.129978,184.2515686772333
DELAWARE,564696,317.0,303.0,620.0,1.8873699999999998,109.79358805445763
ELK,30197,2.0,2.0,4.0,0.0012000000000000001,13.246348975063748
ERIE,274541,180.0,215.0,395.0,0.5041390000000001,143.8765066055707
FAYETTE,131504,134.0,196.0,330.0,1.756531,250.9429370969704
FOREST,7297,3.0,2.0,5.0,0.0039,68.52131012744964
FRANKLIN,154234,100.0,105.0,205.0,0.88562,132.9149214829415
FULTON,14590,18.0,20.0,38.0,0.062000000000000006,260.4523646333105
GREENE,36770,13.0,18.0,31.0,0.07763,84.30785966820775
HUNTINGDON,45491,62.0,76.0,138.0,0.10155600000000001,303.35670792024797
INDIANA,84953,129.0,175.0,304.0,1.529052,357.8449260179157
JEFFERSON,43804,44.0,88.0,132.0,0.048545,301.3423431650077
JUNIATA,24514,13.0,18.0,31.0,0.02019,126.45835033042341
LACKAWANNA,210761,61.0,57.0,118.0,0.9658600000000002,55.9875878364593
LANCASTER,542903,139.0,173.0,312.0,15.300114999999996,57.46882960676217
LAWRENCE,87069,16.0,20.0,36.0,0.51013,41.346518278606624
LEBANON,139754,47.0,78.0,125.0,0.764537,89.4428782002662
LEHIGH,366494,99.0,114.0,213.0,15.868373,58.11827751613942
LUZERNE,317343,278.0,373.0,651.0,5.981772000000001,205.1408097862565
LYCOMING,113841,196.0,255.0,451.0,0.9613759999999999,396.16658321694297
MCKEAN,41330,5.0,4.0,9.0,0.002107,21.775949673360756
MERCER,111750,32.0,35.0,67.0,5.48717,59.9552572706935
MIFFLIN,46388,25.0,34.0,59.0,0.040322000000000004,127.18806587910669
MONROE,168046,312.0,257.0,569.0,9.260255000000003,338.5977648977066
MONTGOMERY,826075,278.0,206.0,484.0,4.161856,58.590321702024625
MONTOUR,18272,5.0,7.0,12.0,0.02842,65.67425569176883
NORTHAMPTON,303405,32.0,42.0,74.0,8.180961000000002,24.38984196041594
NORTHUMBERLAND,92029,27.0,49.0,76.0,0.31374100000000005,82.58266416021036
PERRY,46127,29.0,37.0,66.0,2.8046729999999997,143.08322674355583
PHILADELPHIA,1580863,416.0,390.0,806.0,67.626741,50.98481019544388
PIKE,55691,78.0,80.0,158.0,0.160614,283.7083191179903
POTTER,16802,13.0,10.0,23.0,0.113411,136.88846565885012
SCHUYLKILL,142569,65.0,110.0,175.0,0.568452,122.74758187263711
SNYDER,40801,19.0,22.0,41.0,0.043387,100.4877331437955
SOMERSET,74501,81.0,68.0,149.0,16.398851999999998,199.99731547227552
SULLIVAN,6089,0.0,0.0,0.0,0.0,0.0
SUSQUEHANNA,40985,13.0,14.0,27.0,0.018390999999999998,65.87776015615468
TIOGA,40793,11.0,20.0,31.0,0.036696,75.99343024538524
UNION,44595,13.0,12.0,25.0,0.019260000000000003,56.06009642336585
VENANGO,51762,9.0,25.0,34.0,0.030719999999999997,65.68525172906767
WARREN,39659,5.0,3.0,8.0,0.0068000000000000005,20.17196601023727
WASHINGTON,207298,208.0,233.0,441.0,0.9685379999999999,212.73721888296078
WAYNE,51205,51.0,49.0,100.0,0.517015,195.29342837613513
WESTMORELAND,352627,379.0,395.0,774.0,28.248352999999998,219.49538747741948
WYOMING,27322,27.0,27.0,54.0,0.07736,197.6429251152917
YORK,446078,386.0,379.0,765.0,17.599033,171.49467133550635
